Projekt,Webseite,Beschreibung,Typ,Projektübersichtsplattform,Händische Liste,Link-/Projektsammlung,Sachspendenplattform,Zeitspendenplattform,Vernetzungsplattform,ZG Geflüchtete,ZG Volontäre,ZG Spender,ZG Projekte,ZG Unternehmen,ZG Kommune,Name/Projekt,Träger / c/o,Anschrift,Postleitzahl,Stadt,Ansprechpartner,E-Mail,Telefon,Letzter_Eintrag,Localization,local_focus,refugee_focus,helferallianz
Kommen und Bleiben,http://www.kommenundbleiben.de/,"Webplattform, mit der wir eine Übersicht über Projekte von und mit Geflüchteten ",Online-Portal,1,0,0,0,0,1,ja,ja,ja,ja,nein,nein,Kommen und Bleiben,,Bühringstr.20,13086,Berlin,Florian Huss ,mail@kommenundbleiben.de,,11/09/2016,local,Berlin,1,0
GuteTat.de,http://www.gute-tat.de/,"Sie wollen sich ehrenamtlich in Berlin und Umgebung betätigen? Dann sind Sie hier genau richtig! Hier finden Sie alle unsere Projekte, für die wir noch ehrenamtliche Mitarbeiter, unsere Engel, suchen!",Online-Portal,1,0,1,0,1,0,nein,ja,ja,ja,ja,nein,Stiftung Gute-Tat,,Zinnowitzer Straße 1,10115,Berlin,Lorenz Lauer,l.lauer@gute-tat.de,,14/11/2016,local,"Berlin, München, Hamburg",1,0
InfoCompass Berlin,http://www.info-compass.eu/,"Informations- und Kommunikationsplattform mit, von und für geflüchtete Menschen.","Mapping, Veranstaltungen, Informationen",1,0,1,0,0,0,ja,ja,ja,ja,nein,nein,Info Compass Berlin / Pegasus GmbH,,Potsdamer Str. 98,10785,Berlin,Jan Lindenberg,kontakt@info-compass.eu,,14/11/2016,local,Berlin,1,1
Arriving in Berlin,http://arriving-in-berlin.de/,„Arriving in Berlin - A map made by refugees“ is a mapping project by Haus Leo (Berliner Stadtmission) and Haus der Kulturen der Welt. It is part of the initiative Berlin Mondiale. This map seeks to provide useful information for newcomers in Berlin and is especially meant to support refugees.,Mapping,1,0,1,0,0,0,ja,nein,nein,nein,nein,nein,Haus der Kulturen der Welt,,John-Foster-Dulles-Allee 10,10557,Berlin,Anne Maier,info@hkw.de,030 397 87 0,01/03/2016,local,Berlin,1,0
Refugee Board,http://timeline.refugee-board.de/,Eine Online-Plattform zur schnellen Orientierung und Vernetzung für Flüchtlinge und ihre Unterstützer.,Online-Portal,1,0,1,1,1,1,nein,ja,ja,ja,nein,nein,Refugee Board,c/o muxmäuschenwild,Esmarchstr. 27,10407,Berlin,Britta Liermann,hello@socialcollective.de,+49 176 10229979,01/01/2016,local,Berlin,1,1
Helferplatz,http://helferplatz.org/,"Unsere „ Helferplatz!“ App - zeigt wo Sie sich ehrenamtlich engagieren können. In der App, können Sie sehen, wo und wie Sie helfen können - gleich in Ihrer Nähe. Gemeinnützig Engagieren – Helfen am richtigen Ort.","Online-Portal, App",1,0,0,0,1,0,nein,ja,ja,ja,nein,nein,Helferplatz e.V. i.G.,,Alt-Vinnhorst 18,30419,Hannover,Peter Dombrowski,,+49 511 30059240,02/03/2016,national,,1,0
HelpCamp,http://www.helpcamp.de/,"HelpCamp ist ein unabhängiges, bundesweites Verzeichnis von Initiativen aus dem Bereich der 'Flüchtlingshilfe', mit dem Ziel, hilfsbereite Menschen dabei zu unterstützen, ihr Engagement möglichst effizient einsetzen zu können.","Online-Portal, App, Karte",1,0,1,1,1,1,nein,ja,ja,ja,nein,nein,SoKuBi e.V.,,Im Fuchsloch 1,69123,Heidelberg,Jonathan Rutsch & Tobias Bär,support@helpcamp.de,+49 176 10307016,15/04/2016,national,,1,0
ichhelfe.jetzt,http://ichhelfe.jetzt/,"Deutschlandkarte ""Refugees Welcome Map"" zum MITMAPPEN (auf Basis OpenStreetMap). Diese Karte soll bundesweit Flüchtlingen, Einrichtungen in der Flüchtlingsarbeit und auch engagierten Freiwilligen, die helfen wollen, Orientierung bieten.",Online-Portal,1,0,1,1,1,1,nein,ja,ja,ja,nein,nein,VIA – Verband für Interkulturelle Arbeit e. V.,,Am Buchenbaum 21,47051,Duisburg,,via@via-bund.de,,14/11/2016,national,,1,1
Bürger Aktiv ,http://www.berlin.de/buergeraktiv/engagieren/fuer-fluechtlinge/fluechtlingshilfe-a-z/,"Wir möchten alle Berlinerinnen und Berliner dazu aufrufen, sich zu engagieren. Schließen Sie sich einer der vielen Initiativen an oder organisieren Sie selbst eine Aktion. Jeder und Jede kann einen Beitrag leisten, dass Berlin eine offene und lebenswerte Stadt für alle Bewohner und Bewohnerinnen ist und bleibt.",Online-Portal,1,0,1,0,0,0,nein,ja,nein,nein,nein,nein,Senatskanzlei – bürgeraktiv – Das Engagementportal,,,,Berlin,Yvonne Rast,yvonne.rast@senatskanzlei.berlin.de,030 9026 2343,,local,Berlin,1,0
People Like Me,http://www.miteinander-in-hessen.de/people-like-me/miteinander-helfen/,Schnittstelle zwischen Hilfsgesuchen und Hilfsangeboten in ganz Hessen,"Online-Portal, Karte",1,0,1,1,1,0,nein,ja,ja,ja,nein,nein,Landesstiftung „Miteinander in Hessen“,,"Schenk’sches Haus, 
Friedrichstraße 32",65185,Wiesbaden,Martin Gehl,martin.gehl@mih.hessen.de,49 611 97 155414 ,14/11/2016,local,Hessen,1,0
